CG beads number:   37,  the thread number:   16
thread:  15,  CNa = 1000.000000,  CMg = 0.000000, t0 = 0.000000
thread: 4,  step: 11000,     T: 49.0,    Energy: 18.978903 kcal/mol
thread: 8,  step: 12000,     T: 78.0,    Energy: 55.662628 kcal/mol
thread: 13,  step: 10000,     T:120.0,    Energy: 49.165817 kcal/mol
thread: 11,  step: 10000,     T:102.0,    Energy: 96.157181 kcal/mol
thread: 2,  step: 12000,     T: 37.0,    Energy: 29.058990 kcal/mol
thread: 6,  step: 13000,     T: 63.0,    Energy: 24.682419 kcal/mol
thread: 1,  step: 12000,     T: 31.0,    Energy: 24.364035 kcal/mol
thread: 10,  step: 10000,     T: 94.0,    Energy: 82.625267 kcal/mol
thread: 7,  step: 12000,     T: 71.0,    Energy: 91.455177 kcal/mol
thread: 15,  step: 13000,     T:  0.0,    Energy: 25.884394 kcal/mol
thread: 14,  step: 11000,     T:130.0,    Energy: 42.158722 kcal/mol
thread: 9,  step: 11000,     T: 86.0,    Energy: 21.912682 kcal/mol
thread: 0,  step: 12000,     T: 25.0,    Energy: 29.265493 kcal/mol
thread: 8,  step: 13000,     T: 78.0,    Energy: 49.111084 kcal/mol
thread: 3,  step: 12000,     T: 43.0,    Energy: 40.041882 kcal/mol
thread: 5,  step: 11000,     T: 55.0,    Energy: 20.950373 kcal/mol
thread: 13,  step: 11000,     T:120.0,    Energy: 17.391842 kcal/mol
thread: 2,  step: 13000,     T: 37.0,    Energy: 19.801640 kcal/mol
thread: 4,  step: 12000,     T: 49.0,    Energy: 21.435362 kcal/mol
thread: 10,  step: 11000,     T: 94.0,    Energy: 12.483109 kcal/mol
thread: 12,  step: 11000,     T:110.0,    Energy: 14.869178 kcal/mol
thread: 6,  step: 14000,     T: 63.0,    Energy: 47.792526 kcal/mol
thread: 1,  step: 13000,     T: 31.0,    Energy: 30.165684 kcal/mol
thread: 7,  step: 13000,     T: 71.0,    Energy: 51.089893 kcal/mol
thread: 11,  step: 11000,     T:102.0,    Energy: 52.834023 kcal/mol
thread: 15,  step: 14000,     T:  0.0,    Energy: 25.246660 kcal/mol
thread: 14,  step: 12000,     T:130.0,    Energy: 50.905579 kcal/mol
thread: 8,  step: 14000,     T: 78.0,    Energy: 50.240131 kcal/mol
thread: 13,  step: 12000,     T:120.0,    Energy: 16.442276 kcal/mol
thread: 2,  step: 14000,     T: 37.0,    Energy: 19.739573 kcal/mol
thread: 5,  step: 12000,     T: 55.0,    Energy: 19.382883 kcal/mol
thread: 10,  step: 12000,     T: 94.0,    Energy: 35.831291 kcal/mol
thread: 9,  step: 12000,     T: 86.0,    Energy: 18.813253 kcal/mol
thread: 0,  step: 13000,     T: 25.0,    Energy: 22.332514 kcal/mol
thread: 3,  step: 13000,     T: 43.0,    Energy: 36.909012 kcal/mol
thread: 4,  step: 13000,     T: 49.0,    Energy: 20.562559 kcal/mol
thread: 15,  step: 15000,     T:  0.0,    Energy: 27.197702 kcal/mol
thread: 14,  step: 13000,     T:130.0,    Energy: 35.576729 kcal/mol
thread: 7,  step: 14000,     T: 71.0,    Energy: 43.289482 kcal/mol
thread: 12,  step: 12000,     T:110.0,    Energy: 34.132935 kcal/mol
thread: 8,  step: 15000,     T: 78.0,    Energy: 45.052902 kcal/mol
thread: 1,  step: 14000,     T: 31.0,    Energy: 45.494724 kcal/mol
thread: 6,  step: 15000,     T: 63.0,    Energy: 50.662586 kcal/mol
thread: 13,  step: 13000,     T:120.0,    Energy: 17.698338 kcal/mol
thread: 11,  step: 12000,     T:102.0,    Energy: 46.339817 kcal/mol
thread: 2,  step: 15000,     T: 37.0,    Energy: 30.779718 kcal/mol
thread: 5,  step: 13000,     T: 55.0,    Energy: 13.853410 kcal/mol
thread: 10,  step: 13000,     T: 94.0,    Energy: 17.804083 kcal/mol
thread: 15,  step: 16000,     T:  0.0,    Energy: 37.337830 kcal/mol
thread: 14,  step: 14000,     T:130.0,    Energy: 45.250698 kcal/mol
thread: 9,  step: 13000,     T: 86.0,    Energy: 5.881463 kcal/mol
thread: 3,  step: 14000,     T: 43.0,    Energy: 40.508011 kcal/mol
thread: 0,  step: 14000,     T: 25.0,    Energy: 30.016905 kcal/mol
thread: 8,  step: 16000,     T: 78.0,    Energy: 38.249401 kcal/mol
thread: 4,  step: 14000,     T: 49.0,    Energy: 35.246838 kcal/mol
thread: 7,  step: 15000,     T: 71.0,    Energy: 43.377651 kcal/mol
thread: 13,  step: 14000,     T:120.0,    Energy: 21.933994 kcal/mol
thread: 12,  step: 13000,     T:110.0,    Energy: 24.848604 kcal/mol
thread: 5,  step: 14000,     T: 55.0,    Energy: 19.013527 kcal/mol
thread: 2,  step: 16000,     T: 37.0,    Energy: 21.784895 kcal/mol
thread: 1,  step: 15000,     T: 31.0,    Energy: 24.922066 kcal/mol
thread: 11,  step: 13000,     T:102.0,    Energy: 45.250500 kcal/mol
thread: 6,  step: 16000,     T: 63.0,    Energy: 51.685265 kcal/mol
thread: 14,  step: 15000,     T:130.0,    Energy: 41.848877 kcal/mol
thread: 15,  step: 17000,     T:  0.0,    Energy: 53.145737 kcal/mol
thread: 10,  step: 14000,     T: 94.0,    Energy: 19.352280 kcal/mol
thread: 8,  step: 17000,     T: 78.0,    Energy: 40.395844 kcal/mol
thread: 7,  step: 16000,     T: 71.0,    Energy: 41.432625 kcal/mol
thread: 13,  step: 15000,     T:120.0,    Energy: 49.781689 kcal/mol
thread: 9,  step: 14000,     T: 86.0,    Energy: 17.748539 kcal/mol
thread: 12,  step: 14000,     T:110.0,    Energy: 17.776634 kcal/mol
thread: 5,  step: 15000,     T: 55.0,    Energy: 29.752907 kcal/mol
thread: 0,  step: 15000,     T: 25.0,    Energy: 29.745338 kcal/mol
thread: 3,  step: 15000,     T: 43.0,    Energy: 38.630352 kcal/mol
thread: 4,  step: 15000,     T: 49.0,    Energy: 33.907940 kcal/mol
thread: 14,  step: 16000,     T:130.0,    Energy: 54.413197 kcal/mol
thread: 11,  step: 14000,     T:102.0,    Energy: 17.435812 kcal/mol
thread: 2,  step: 17000,     T: 37.0,    Energy: 17.626328 kcal/mol
thread: 10,  step: 15000,     T: 94.0,    Energy: 18.296909 kcal/mol
thread: 8,  step: 18000,     T: 78.0,    Energy: 40.086739 kcal/mol
thread: 1,  step: 16000,     T: 31.0,    Energy: 22.334057 kcal/mol
thread: 6,  step: 17000,     T: 63.0,    Energy: 39.800156 kcal/mol
thread: 7,  step: 17000,     T: 71.0,    Energy: 43.257824 kcal/mol
thread: 15,  step: 18000,     T:  0.0,    Energy: 91.359177 kcal/mol
thread: 13,  step: 16000,     T:120.0,    Energy: 27.272823 kcal/mol
thread: 9,  step: 15000,     T: 86.0,    Energy: 17.815332 kcal/mol
thread: 5,  step: 16000,     T: 55.0,    Energy: 34.434021 kcal/mol
thread: 12,  step: 15000,     T:110.0,    Energy: 31.101194 kcal/mol
thread: 14,  step: 17000,     T:130.0,    Energy: 42.045120 kcal/mol
thread: 0,  step: 16000,     T: 25.0,    Energy: 25.940504 kcal/mol
thread: 3,  step: 16000,     T: 43.0,    Energy: 41.635864 kcal/mol
