CG beads number:   49,  the thread number:   16
thread:  1,  CNa = 0.000000,  CMg = 0.000000, t0 = 31.000000
thread: 9,  step:  7000,     T: 86.0,    Energy: 38.085339 kcal/mol
thread: 7,  step: 10000,     T: 71.0,    Energy: 32.367157 kcal/mol
thread: 8,  step:  6000,     T: 78.0,    Energy: 25.859552 kcal/mol
thread: 11,  step:  7000,     T:102.0,    Energy: 28.324253 kcal/mol
thread: 4,  step: 10000,     T: 49.0,    Energy: 28.511906 kcal/mol
thread: 15,  step: 10000,     T:  0.0,    Energy: 19.173826 kcal/mol
thread: 1,  step:  9000,     T: 31.0,    Energy: 29.155209 kcal/mol
thread: 14,  step:  9000,     T:130.0,    Energy: 23.306190 kcal/mol
thread: 12,  step:  6000,     T:110.0,    Energy: 23.580332 kcal/mol
thread: 10,  step:  7000,     T: 94.0,    Energy: 24.329739 kcal/mol
thread: 0,  step: 11000,     T: 25.0,    Energy: 27.657148 kcal/mol
thread: 2,  step:  8000,     T: 37.0,    Energy: 15.436783 kcal/mol
thread: 9,  step:  8000,     T: 86.0,    Energy: 42.784595 kcal/mol
thread: 7,  step: 11000,     T: 71.0,    Energy: 27.534639 kcal/mol
thread: 5,  step:  9000,     T: 55.0,    Energy: 30.938383 kcal/mol
thread: 6,  step:  7000,     T: 63.0,    Energy: 41.539047 kcal/mol
thread: 3,  step:  8000,     T: 43.0,    Energy: 21.220230 kcal/mol
thread: 11,  step:  8000,     T:102.0,    Energy: 17.828339 kcal/mol
thread: 4,  step: 11000,     T: 49.0,    Energy: 28.638853 kcal/mol
thread: 13,  step:  8000,     T:120.0,    Energy: 31.045357 kcal/mol
thread: 8,  step:  7000,     T: 78.0,    Energy: 15.761974 kcal/mol
thread: 0,  step: 12000,     T: 25.0,    Energy: 25.462870 kcal/mol
thread: 2,  step:  9000,     T: 37.0,    Energy: 20.703911 kcal/mol
thread: 9,  step:  9000,     T: 86.0,    Energy: 23.173229 kcal/mol
thread: 12,  step:  7000,     T:110.0,    Energy: 23.300999 kcal/mol
thread: 7,  step: 12000,     T: 71.0,    Energy: 22.092054 kcal/mol
thread: 1,  step: 10000,     T: 31.0,    Energy: 15.203005 kcal/mol
thread: 3,  step:  9000,     T: 43.0,    Energy: 26.265749 kcal/mol
thread: 15,  step: 11000,     T:  0.0,    Energy: 26.058203 kcal/mol
thread: 14,  step: 10000,     T:130.0,    Energy: 18.044106 kcal/mol
thread: 13,  step:  9000,     T:120.0,    Energy: 22.843983 kcal/mol
thread: 10,  step:  8000,     T: 94.0,    Energy: 39.908966 kcal/mol
thread: 5,  step: 10000,     T: 55.0,    Energy: 28.718571 kcal/mol
thread: 6,  step:  8000,     T: 63.0,    Energy: 29.848516 kcal/mol
thread: 0,  step: 13000,     T: 25.0,    Energy: 37.091072 kcal/mol
thread: 4,  step: 12000,     T: 49.0,    Energy: 37.950787 kcal/mol
thread: 2,  step: 10000,     T: 37.0,    Energy: 20.102545 kcal/mol
thread: 9,  step: 10000,     T: 86.0,    Energy: 26.949453 kcal/mol
thread: 8,  step:  8000,     T: 78.0,    Energy: 15.401054 kcal/mol
thread: 11,  step:  9000,     T:102.0,    Energy: 23.820068 kcal/mol
thread: 7,  step: 13000,     T: 71.0,    Energy: 18.679947 kcal/mol
thread: 1,  step: 11000,     T: 31.0,    Energy: 24.154289 kcal/mol
thread: 12,  step:  8000,     T:110.0,    Energy: 9.638527 kcal/mol
thread: 13,  step: 10000,     T:120.0,    Energy: 27.858683 kcal/mol
thread: 3,  step: 10000,     T: 43.0,    Energy: 17.435450 kcal/mol
thread: 10,  step:  9000,     T: 94.0,    Energy: 34.670944 kcal/mol
thread: 2,  step: 11000,     T: 37.0,    Energy: 19.905380 kcal/mol
thread: 0,  step: 14000,     T: 25.0,    Energy: 23.405668 kcal/mol
thread: 9,  step: 11000,     T: 86.0,    Energy: 30.437344 kcal/mol
thread: 5,  step: 11000,     T: 55.0,    Energy: 40.124493 kcal/mol
thread: 7,  step: 14000,     T: 71.0,    Energy: 28.528191 kcal/mol
thread: 15,  step: 12000,     T:  0.0,    Energy: 27.600990 kcal/mol
thread: 1,  step: 12000,     T: 31.0,    Energy: 21.647230 kcal/mol
thread: 14,  step: 11000,     T:130.0,    Energy: 24.657097 kcal/mol
thread: 12,  step:  9000,     T:110.0,    Energy: 22.316458 kcal/mol
thread: 6,  step:  9000,     T: 63.0,    Energy: 38.848183 kcal/mol
thread: 10,  step: 10000,     T: 94.0,    Energy: 29.591635 kcal/mol
thread: 4,  step: 13000,     T: 49.0,    Energy: 29.848650 kcal/mol
thread: 3,  step: 11000,     T: 43.0,    Energy: 29.228836 kcal/mol
thread: 13,  step: 11000,     T:120.0,    Energy: 22.050785 kcal/mol
thread: 2,  step: 12000,     T: 37.0,    Energy: 30.362312 kcal/mol
thread: 11,  step: 10000,     T:102.0,    Energy: 35.122200 kcal/mol
thread: 8,  step:  9000,     T: 78.0,    Energy: 6.631138 kcal/mol
thread: 5,  step: 12000,     T: 55.0,    Energy: 21.177883 kcal/mol
