CG beads number:   49,  the thread number:   16
thread:  5,  CNa = 1000.000000,  CMg = 0.000000, t0 = 55.000000
thread: 14,  step:  8000,     T:130.0,    Energy: 37.192780 kcal/mol
thread: 11,  step:  7000,     T:102.0,    Energy: 29.359463 kcal/mol
thread: 15,  step:  9000,     T:  0.0,    Energy: 17.545691 kcal/mol
thread: 13,  step: 10000,     T:120.0,    Energy: 24.556261 kcal/mol
thread: 9,  step:  6000,     T: 86.0,    Energy: 20.644894 kcal/mol
thread: 8,  step:  7000,     T: 78.0,    Energy: 18.158001 kcal/mol
thread: 1,  step:  6000,     T: 31.0,    Energy: 33.500622 kcal/mol
thread: 3,  step: 10000,     T: 43.0,    Energy: 39.065216 kcal/mol
thread: 0,  step:  8000,     T: 25.0,    Energy: 14.513912 kcal/mol
thread: 10,  step:  9000,     T: 94.0,    Energy: 11.842558 kcal/mol
thread: 7,  step:  9000,     T: 71.0,    Energy: 17.527636 kcal/mol
thread: 2,  step:  7000,     T: 37.0,    Energy: 20.387791 kcal/mol
thread: 11,  step:  8000,     T:102.0,    Energy: 24.809607 kcal/mol
thread: 5,  step:  8000,     T: 55.0,    Energy: 16.189959 kcal/mol
thread: 14,  step:  9000,     T:130.0,    Energy: 21.579521 kcal/mol
thread: 6,  step: 11000,     T: 63.0,    Energy: 8.213319 kcal/mol
thread: 13,  step: 11000,     T:120.0,    Energy: 29.061363 kcal/mol
thread: 3,  step: 11000,     T: 43.0,    Energy: 22.181166 kcal/mol
thread: 12,  step:  8000,     T:110.0,    Energy: 30.821323 kcal/mol
thread: 10,  step: 10000,     T: 94.0,    Energy: 29.027996 kcal/mol
thread: 4,  step:  7000,     T: 49.0,    Energy: 30.958513 kcal/mol
thread: 7,  step: 10000,     T: 71.0,    Energy: 17.162836 kcal/mol
thread: 2,  step:  8000,     T: 37.0,    Energy: 27.465687 kcal/mol
thread: 11,  step:  9000,     T:102.0,    Energy: 19.770384 kcal/mol
thread: 15,  step: 10000,     T:  0.0,    Energy: 26.044199 kcal/mol
thread: 5,  step:  9000,     T: 55.0,    Energy: 21.665020 kcal/mol
thread: 13,  step: 12000,     T:120.0,    Energy: 18.214088 kcal/mol
thread: 8,  step:  8000,     T: 78.0,    Energy: 11.354403 kcal/mol
thread: 9,  step:  7000,     T: 86.0,    Energy: 15.439828 kcal/mol
thread: 14,  step: 10000,     T:130.0,    Energy: 25.803617 kcal/mol
thread: 1,  step:  7000,     T: 31.0,    Energy: 27.690533 kcal/mol
thread: 3,  step: 12000,     T: 43.0,    Energy: 32.352413 kcal/mol
thread: 10,  step: 11000,     T: 94.0,    Energy: 30.748314 kcal/mol
thread: 0,  step:  9000,     T: 25.0,    Energy: 16.175705 kcal/mol
thread: 7,  step: 11000,     T: 71.0,    Energy: 23.356312 kcal/mol
thread: 2,  step:  9000,     T: 37.0,    Energy: 23.449116 kcal/mol
thread: 4,  step:  8000,     T: 49.0,    Energy: 34.163551 kcal/mol
thread: 11,  step: 10000,     T:102.0,    Energy: 27.490793 kcal/mol
thread: 12,  step:  9000,     T:110.0,    Energy: 25.709799 kcal/mol
thread: 6,  step: 12000,     T: 63.0,    Energy: 9.552440 kcal/mol
thread: 13,  step: 13000,     T:120.0,    Energy: 25.633297 kcal/mol
thread: 3,  step: 13000,     T: 43.0,    Energy: 16.594761 kcal/mol
thread: 10,  step: 12000,     T: 94.0,    Energy: 27.261358 kcal/mol
thread: 7,  step: 12000,     T: 71.0,    Energy: 41.510197 kcal/mol
