CG beads number:   40,  the thread number:   16
thread:  15,  CNa = 1000.000000,  CMg = 0.000000, t0 = 0.000000
thread: 12,  step: 10000,     T:110.0,    Energy: 36.496368 kcal/mol
thread: 8,  step:  9000,     T: 78.0,    Energy: 97.074081 kcal/mol
thread: 14,  step:  9000,     T:130.0,    Energy: 131.643707 kcal/mol
thread: 7,  step:  8000,     T: 71.0,    Energy: 92.819504 kcal/mol
thread: 5,  step:  8000,     T: 55.0,    Energy: 120.888435 kcal/mol
thread: 15,  step:  9000,     T:  0.0,    Energy: 122.423378 kcal/mol
thread: 4,  step:  8000,     T: 49.0,    Energy: 57.438820 kcal/mol
thread: 0,  step: 10000,     T: 25.0,    Energy: 33.939285 kcal/mol
thread: 13,  step:  8000,     T:120.0,    Energy: 109.731277 kcal/mol
thread: 2,  step:  9000,     T: 37.0,    Energy: 41.708462 kcal/mol
thread: 9,  step: 11000,     T: 86.0,    Energy: 111.431519 kcal/mol
thread: 1,  step: 11000,     T: 31.0,    Energy: 47.643929 kcal/mol
thread: 6,  step:  9000,     T: 63.0,    Energy: 52.466064 kcal/mol
thread: 11,  step: 12000,     T:102.0,    Energy: 34.897453 kcal/mol
thread: 3,  step: 11000,     T: 43.0,    Energy: 40.587463 kcal/mol
thread: 12,  step: 11000,     T:110.0,    Energy: 24.078001 kcal/mol
thread: 8,  step: 10000,     T: 78.0,    Energy: 87.077263 kcal/mol
thread: 10,  step: 11000,     T: 94.0,    Energy: 48.094593 kcal/mol
thread: 7,  step:  9000,     T: 71.0,    Energy: 78.701126 kcal/mol
thread: 14,  step: 10000,     T:130.0,    Energy: 126.394852 kcal/mol
thread: 0,  step: 11000,     T: 25.0,    Energy: 22.743969 kcal/mol
thread: 9,  step: 12000,     T: 86.0,    Energy: 38.897602 kcal/mol
thread: 2,  step: 10000,     T: 37.0,    Energy: 44.015049 kcal/mol
thread: 15,  step: 10000,     T:  0.0,    Energy: 112.798996 kcal/mol
thread: 11,  step: 13000,     T:102.0,    Energy: 28.851963 kcal/mol
thread: 5,  step:  9000,     T: 55.0,    Energy: 123.198936 kcal/mol
thread: 12,  step: 12000,     T:110.0,    Energy: 23.340876 kcal/mol
thread: 1,  step: 12000,     T: 31.0,    Energy: 39.556934 kcal/mol
thread: 8,  step: 11000,     T: 78.0,    Energy: 44.519897 kcal/mol
thread: 6,  step: 10000,     T: 63.0,    Energy: 48.412964 kcal/mol
thread: 4,  step:  9000,     T: 49.0,    Energy: 53.692692 kcal/mol
thread: 13,  step:  9000,     T:120.0,    Energy: 108.967636 kcal/mol
thread: 3,  step: 12000,     T: 43.0,    Energy: 20.415300 kcal/mol
thread: 10,  step: 12000,     T: 94.0,    Energy: 49.478317 kcal/mol
thread: 7,  step: 10000,     T: 71.0,    Energy: 74.827400 kcal/mol
thread: 0,  step: 12000,     T: 25.0,    Energy: 22.134367 kcal/mol
thread: 9,  step: 13000,     T: 86.0,    Energy: 70.319572 kcal/mol
thread: 11,  step: 14000,     T:102.0,    Energy: 29.968170 kcal/mol
thread: 12,  step: 13000,     T:110.0,    Energy: 39.736477 kcal/mol
thread: 1,  step: 13000,     T: 31.0,    Energy: 60.771732 kcal/mol
thread: 8,  step: 12000,     T: 78.0,    Energy: 48.613533 kcal/mol
thread: 2,  step: 11000,     T: 37.0,    Energy: 27.451979 kcal/mol
thread: 14,  step: 11000,     T:130.0,    Energy: 51.820965 kcal/mol
thread: 4,  step: 10000,     T: 49.0,    Energy: 52.977852 kcal/mol
thread: 15,  step: 11000,     T:  0.0,    Energy: 60.933609 kcal/mol
thread: 5,  step: 10000,     T: 55.0,    Energy: 87.080742 kcal/mol
thread: 10,  step: 13000,     T: 94.0,    Energy: 51.493107 kcal/mol
thread: 3,  step: 13000,     T: 43.0,    Energy: 27.179865 kcal/mol
thread: 0,  step: 13000,     T: 25.0,    Energy: 33.572063 kcal/mol
thread: 9,  step: 14000,     T: 86.0,    Energy: 21.614882 kcal/mol
thread: 6,  step: 11000,     T: 63.0,    Energy: 27.685396 kcal/mol
thread: 13,  step: 10000,     T:120.0,    Energy: 85.021072 kcal/mol
thread: 7,  step: 11000,     T: 71.0,    Energy: 26.151823 kcal/mol
thread: 11,  step: 15000,     T:102.0,    Energy: 31.998844 kcal/mol
thread: 8,  step: 13000,     T: 78.0,    Energy: 42.764961 kcal/mol
thread: 1,  step: 14000,     T: 31.0,    Energy: 44.566254 kcal/mol
thread: 15,  step: 12000,     T:  0.0,    Energy: 37.862183 kcal/mol
thread: 10,  step: 14000,     T: 94.0,    Energy: 45.655586 kcal/mol
thread: 12,  step: 14000,     T:110.0,    Energy: 15.721925 kcal/mol
thread: 2,  step: 12000,     T: 37.0,    Energy: 21.494665 kcal/mol
thread: 0,  step: 14000,     T: 25.0,    Energy: 26.201820 kcal/mol
thread: 9,  step: 15000,     T: 86.0,    Energy: 21.489136 kcal/mol
thread: 5,  step: 11000,     T: 55.0,    Energy: 46.422260 kcal/mol
thread: 4,  step: 11000,     T: 49.0,    Energy: 42.770973 kcal/mol
thread: 3,  step: 14000,     T: 43.0,    Energy: 17.687057 kcal/mol
